,N_Dim,Key,Ward_dist,Cen_dist,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
0,8,Avg-Silh,1200.3575299756747,4.731764316558838,0.16951322555541992,37.04067780212492,2.48922799517735,0.8554881293313741,0.721423125175952,0.761000142137275
1,8,FMI,1194.2823372723042,4.585162431001663,0.1664014309644699,35.6839050599132,2.6187541422552663,0.86099171293848,0.7375081203286212,0.7745074021076968
2,16,Avg-Silh,828.5091751113202,3.7201432287693024,0.10996928066015244,25.55773300371036,3.0145707460386335,0.817143600796812,0.6389220145284648,0.6891732706908636
3,16,FMI,638.474452650921,3.41293066740036,0.08437883108854294,21.38593654194476,3.252131596529855,0.8764083583149728,0.7921778585060878,0.8217064869159667
4,32,Avg-Silh,738.460071576107,3.6297444701194763,0.1050896868109703,18.62884249018109,3.672036260572547,0.8105639668456011,0.6117284914023795,0.665479685199802
5,32,FMI,644.3448508854974,3.3012835085392,0.0681867003440857,16.094862738064226,3.8986684613376017,0.8405155144160618,0.719147552583741,0.7587441003480407
6,48,Avg-Silh,641.4339317856047,3.565132111310959,0.0854303315281868,13.156080426967794,4.207301582975758,0.8083026593136107,0.662464670941542,0.7100750832192428
7,48,FMI,677.4734359119063,3.6494520008563995,0.05227920413017273,14.039846546838625,3.7601553350770645,0.8847977322095977,0.8362460884088977,0.859772648898187
8,64,Avg-Silh,781.8248592624369,3.8410740792751312,0.07989348471164703,15.272859829042845,3.997827476415328,0.7768621895042558,0.6052471055463003,0.6602804132786694
9,64,FMI,592.9838177240059,3.3760930597782135,0.03666982054710388,11.501738691516072,4.376596145263065,0.822771644829087,0.7396547867608966,0.7770546102260995
