,N_Dim,Exp_Var,Key,Ward_dist,Cen_dist,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
0,8,0.47,Avg-Silh,80177.05074453598,36.00937811358293,0.201104055983146,73.13120247468973,1.9563518948525007,0.8519973379436251,0.7036021648853892,0.7453065990786892
1,8,0.47,FMI,71778.85842119656,32.57320773524209,0.16228590919245908,60.1380033131193,2.1062468702112476,0.8435304411898341,0.7314806577167668,0.7695508119667874
2,16,0.56,Avg-Silh,81659.52075350776,36.83778117460744,0.18243607878329854,60.07858796186308,2.1793562279895635,0.8312408914687243,0.6418023118415289,0.6916272969042027
3,16,0.56,FMI,75331.30962740573,36.576325261578674,0.16558348485377308,54.91688039805959,1.9773300592336376,0.8763898248887767,0.7521875039826998,0.7873447304478581
4,32,0.67,Avg-Silh,79904.48590130964,37.59691313416528,0.164974733298609,46.526146226323704,2.4172057279222003,0.8074410494915351,0.6090501327966032,0.6633353019027969
5,32,0.67,FMI,78032.79886966108,36.49002206798271,0.14096497800220834,44.74280366899128,2.4758503277327373,0.8604695138095214,0.7623181128699592,0.7965719530894299
6,48,0.75,Avg-Silh,80503.37703636353,37.43557620485096,0.14811505875803704,40.923223219836466,2.6286133355447685,0.811796040505445,0.6199014721363147,0.6727423095453053
7,48,0.75,FMI,76625.9552802994,34.760154661539715,0.10253896947141183,37.26335939348148,2.61514397483868,0.8699280681325144,0.7829715785551816,0.8138509135419449
8,64,0.8,Avg-Silh,83353.02096144136,38.129361334422384,0.14188387126151372,38.59924392178673,2.6968877659478943,0.8137458983406215,0.6191356852240651,0.6720368829503662
9,64,0.8,FMI,84855.38954788352,37.43903691988234,0.12445467269632798,39.21277511876292,2.6662689159100825,0.864535237085175,0.7221837431852879,0.7613500302784751
