,N_Dim,Key,Ward_dist,Cen_dist,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
0,8,Avg-Silh,298.68614912311693,2.1731774508953094,0.3289145827293396,177.36329113729,1.3409128424841752,0.8526745882731869,0.7143674459747087,0.7547030975107453
1,8,FMI,299.01848002992654,2.176044687628746,0.32592111825942993,174.83452489108066,1.3426644923694568,0.8560110180049827,0.7251965219916499,0.7640828880293493
2,16,Avg-Silh,289.21784914800526,2.122714266180992,0.32784581184387207,181.73602899395846,1.2962213134951344,0.8326308138090853,0.661046385163562,0.7083305331027867
3,16,FMI,293.9539154254429,2.146111249923706,0.3277592062950134,181.4845277524027,1.3424464630860684,0.8526745882731869,0.7143674459747087,0.7547030975107453
4,32,Avg-Silh,348.6899331954132,2.177457571029663,0.33449026942253113,195.28166340362372,1.2870948119165182,0.8318048477863607,0.664439108297182,0.7155020316937695
5,32,FMI,293.9562932553597,2.178967610001564,0.3302965760231018,172.3467696860094,1.3522980537155895,0.8621676930788439,0.7412195350293909,0.7792318259013917
6,48,Avg-Silh,402.1379790067087,2.4109646677970886,0.34313809871673584,226.87189559818606,1.0970635678259586,0.8166802918437481,0.6589309947189352,0.7110072513203172
7,48,FMI,300.65397690712666,2.181400053203106,0.3296568691730499,180.48230694373515,1.3041283280900482,0.8526745882731869,0.7143674459747087,0.7547030975107453
8,64,Avg-Silh,387.6711323345671,2.395365431904793,0.34549158811569214,223.62970514289077,1.103370737743668,0.8163888028151767,0.6571063780721531,0.7090164356845179
9,64,FMI,297.26175076126174,2.1648473888635635,0.32737135887145996,177.47296549190406,1.3240778672886435,0.8539374004061354,0.7178327977804316,0.7577166736785717
