,0,1,2,3,4,5,6,7,8,9,10
"Start-end time, sec","(5.5, 106.5)","(107.5, 176.5)","(177.5, 232.5)","(233.5, 393.5)","(394.5, 468.5)","(469.5, 876.5)","(879.5, 1007.5)","(1008.5, 1054.5)","(1055.5, 1115.5)","(1116.5, 1239.5)","(1240.5, 1334.5)"
"Time length, sec",101.0,69.0,55.0,160.0,74.0,407.0,128.0,46.0,60.0,123.0,94.0
Number of epochs,96,67,55,156,70,388,124,43,58,118,89
