,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 411.5)","(412.5, 593.5)","(596.5, 853.5)","(854.5, 1066.5)","(1067.5, 1231.5)","(1232.5, 1376.5)","(1377.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",401.0,181.0,257.0,212.0,164.0,144.0,724.0,243.0
Number of epochs,348,159,215,181,142,119,631,222
