,N_clusters,K_neighb,Len_min,St_edges,Silh,Cal-Har,Dav-Bold
0,2,20,0,[   0  168  210 1046],0.23867618079152847,162.4696867233511,1.6451773257647502
1,2,20,20,[   0  168  210 1046],0.23867618079152847,162.4696867233511,1.6451773257647502
2,2,20,40,[   0  168  210 1046],0.23867618079152847,162.4696867233511,1.6451773257647502
3,2,20,60,[   0  210 1046],0.23867618079152847,162.4696867233511,1.6451773257647502
4,2,21,0,[   0  227  288 1046],0.19957217229256116,158.69209860834323,1.801017746048495
5,2,21,20,[   0  227  288 1046],0.19957217229256116,158.69209860834323,1.801017746048495
6,2,21,40,[   0  227  288 1046],0.19957217229256116,158.69209860834323,1.801017746048495
7,2,21,60,[   0  227  288 1046],0.19957217229256116,158.69209860834323,1.801017746048495
8,2,22,0,[   0  229  288 1046],0.19943815078632793,160.89391807883885,1.8096864448393564
9,2,22,20,[   0  229  288 1046],0.19943815078632793,160.89391807883885,1.8096864448393564
10,2,22,40,[   0  229  288 1046],0.19943815078632793,160.89391807883885,1.8096864448393564
11,2,22,60,[   0  229 1046],0.19943815078632793,160.89391807883885,1.8096864448393564
12,2,23,0,[   0  229  292 1046],0.19414504898694673,157.1985256128916,1.8276838328678284
13,2,23,20,[   0  229  292 1046],0.19414504898694673,157.1985256128916,1.8276838328678284
14,2,23,40,[   0  229  292 1046],0.19414504898694673,157.1985256128916,1.8276838328678284
15,2,23,60,[   0  229  292 1046],0.19414504898694673,157.1985256128916,1.8276838328678284
16,2,24,0,[   0  168  269 1046],0.2344008233520232,167.6629774209253,1.6633585935557071
17,2,24,20,[   0  168  269 1046],0.2344008233520232,167.6629774209253,1.6633585935557071
18,2,24,40,[   0  168  269 1046],0.2344008233520232,167.6629774209253,1.6633585935557071
19,2,24,60,[   0  168  269 1046],0.2344008233520232,167.6629774209253,1.6633585935557071
20,2,25,0,[   0  252  288 1046],0.20017074824958628,161.51315567650332,1.8140212856390265
21,2,25,20,[   0  252  288 1046],0.20017074824958628,161.51315567650332,1.8140212856390265
22,2,25,40,[   0  252 1046],0.20017074824958628,161.51315567650332,1.8140212856390265
23,2,25,60,[   0  252 1046],0.20017074824958628,161.51315567650332,1.8140212856390265
24,2,26,0,[   0  335  554 1046],0.13524214262549353,125.36126593361577,2.4496061296954528
25,2,26,20,[   0  335  554 1046],0.13524214262549353,125.36126593361577,2.4496061296954528
26,2,26,40,[   0  335  554 1046],0.13524214262549353,125.36126593361577,2.4496061296954528
27,2,26,60,[   0  335  554 1046],0.13524214262549353,125.36126593361577,2.4496061296954528
28,2,27,0,[   0  229  292 1046],0.1972017916200775,160.22344246095085,1.8193255088520843
29,2,27,20,[   0  229  292 1046],0.1972017916200775,160.22344246095085,1.8193255088520843
30,2,27,40,[   0  229  292 1046],0.1972017916200775,160.22344246095085,1.8193255088520843
31,2,27,60,[   0  229  292 1046],0.1972017916200775,160.22344246095085,1.8193255088520843
32,2,28,0,[   0  229  292 1046],0.1929090919987555,159.1692996984243,1.849567673031869
33,2,28,20,[   0  229  292 1046],0.1929090919987555,159.1692996984243,1.849567673031869
34,2,28,40,[   0  229  292 1046],0.1929090919987555,159.1692996984243,1.849567673031869
35,2,28,60,[   0  229  292 1046],0.1929090919987555,159.1692996984243,1.849567673031869
36,2,29,0,[   0  268  485 1046],0.2050389698049261,154.0486805166802,2.1025345619044398
37,2,29,20,[   0  268  485 1046],0.2050389698049261,154.0486805166802,2.1025345619044398
38,2,29,40,[   0  268  485 1046],0.2050389698049261,154.0486805166802,2.1025345619044398
39,2,29,60,[   0  268  485 1046],0.2050389698049261,154.0486805166802,2.1025345619044398
40,2,30,0,[   0  282  485 1046],0.20796518155557944,156.71771603418728,2.090881334604104
41,2,30,20,[   0  282  485 1046],0.20796518155557944,156.71771603418728,2.090881334604104
42,2,30,40,[   0  282  485 1046],0.20796518155557944,156.71771603418728,2.090881334604104
43,2,30,60,[   0  282  485 1046],0.20796518155557944,156.71771603418728,2.090881334604104
44,2,31,0,[   0  168  210 1046],0.2382015109055086,164.26969929313654,1.6474723897837904
45,2,31,20,[   0  168  210 1046],0.2382015109055086,164.26969929313654,1.6474723897837904
46,2,31,40,[   0  168  210 1046],0.2382015109055086,164.26969929313654,1.6474723897837904
47,2,31,60,[   0  210 1046],0.2382015109055086,164.26969929313654,1.6474723897837904
48,2,32,0,[   0  335  554 1046],0.14749023847985843,132.77731001758045,2.371137760714253
49,2,32,20,[   0  335  554 1046],0.14749023847985843,132.77731001758045,2.371137760714253
50,2,32,40,[   0  335  554 1046],0.14749023847985843,132.77731001758045,2.371137760714253
51,2,32,60,[   0  335  554 1046],0.14749023847985843,132.77731001758045,2.371137760714253
52,2,33,0,[   0  335  554 1046],0.12522772608507696,118.39503936643578,2.5277488787203812
53,2,33,20,[   0  335  554 1046],0.12522772608507696,118.39503936643578,2.5277488787203812
54,2,33,40,[   0  335  554 1046],0.12522772608507696,118.39503936643578,2.5277488787203812
55,2,33,60,[   0  335  554 1046],0.12522772608507696,118.39503936643578,2.5277488787203812
