,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 264.5)","(265.5, 638.5)","(640.5, 940.5)","(942.5, 1180.5)","(1181.5, 1412.5)","(1413.5, 1742.5)","(1743.5, 2136.5)","(2138.5, 2345.5)"
"Time length, sec",254.0,373.0,300.0,238.0,231.0,329.0,393.0,207.0
Number of epochs,224,319,250,210,194,285,344,191
