,Feature,IV,IVs
0,channel-0 betti dim-1 max,0.07566511479829642,"[0.20439776307962765, 0.06738797570614609, 0.02166895856068656, 0.07840427521366249, 0.1183413625005342, 0.030241123757698572, 0.029555037075957424, 0.055324422492058364]"
1,channel-0 betti dim-1 mean,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,channel-0 betti dim-1 std,0.07519834718746965,"[0.08615389481229846, 0.046626240466104266, 0.0554686473972822, 0.14154120733439696, 0.11178940267423333, 0.05085660789607111, 0.024060534199506906, 0.08509024271986401]"
3,channel-0 betti dim-1 sum,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,channel-0 betti dim-1 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,channel-0 betti dim-1 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,channel-0 betti dim-1 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,channel-0 betti dim-1 kurtosis,0.1993944173626802,"[0.6120321135581188, 0.26804408465961543, 0.04983299209134385, 0.22460562027116882, 0.2524926470404075, 0.03657090999483624, 0.028206854742701522, 0.12337011654324938]"
8,channel-0 betti dim-1 skew,0.05351945302054427,"[0.11860514122394647, 0.03617314682224716, 0.034979881942967674, 0.03940397002752864, 0.10724425424744494, 0.013245816834066235, 0.0393098280417013, 0.039193585024451694]"
9,channel-0 betti dim-1 norm-1,0.12468730986943902,"[0.19130003788561525, 0.1863324466398922, 0.07665953118911997, 0.2562087526885523, 0.18651494972895274, 0.018715277826898923, 0.036578475891571864, 0.0451890071049088]"
10,channel-0 betti dim-1 norm-2,0.07519834718746965,"[0.08615389481229846, 0.046626240466104266, 0.0554686473972822, 0.14154120733439696, 0.11178940267423333, 0.05085660789607111, 0.024060534199506906, 0.08509024271986401]"
11,channel-0 betti dim-2 max,0.021460296582028644,"[0.018127876969619972, 0.0022124203589542184, 0.028314179252221773, 0.003269486599561687, 0.04574326829583134, 0.022554420258488896, 0.02945926175177756, 0.022001459169773703]"
12,channel-0 betti dim-2 mean,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,channel-0 betti dim-2 std,0.0751545440374436,"[0.16170736601282645, 0.07036352694998471, 0.05795427198509604, 0.09800305494308705, 0.07261020083036973, 0.03418519896156521, 0.028401442857737547, 0.07801128975888195]"
14,channel-0 betti dim-2 sum,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,channel-0 betti dim-2 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,channel-0 betti dim-2 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,channel-0 betti dim-2 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,channel-0 betti dim-2 kurtosis,0.10992974773316504,"[0.25903686815412286, 0.13616612162257247, 0.07667175942912098, 0.1899265735569634, 0.13530496208546455, 0.03574040153450013, 0.009963939524736452, 0.036627355957839426]"
19,channel-0 betti dim-2 skew,0.05975217166261974,"[0.1138782060662169, 0.05498636665961849, 0.05383899421386401, 0.06303937608197281, 0.10499293285328937, 0.030562068490361777, 0.021409361410527013, 0.03531006752510756]"
20,channel-0 betti dim-2 norm-1,0.13621680567602323,"[0.4166301665496833, 0.1263426748998818, 0.04190798615063459, 0.20797788314590498, 0.1560630030849672, 0.039110818471409695, 0.02852521909690192, 0.07317669400880222]"
21,channel-0 betti dim-2 norm-2,0.0751545440374436,"[0.16170736601282645, 0.07036352694998471, 0.05795427198509604, 0.09800305494308705, 0.07261020083036973, 0.03418519896156521, 0.028401442857737547, 0.07801128975888195]"
22,channel-0 landscape dim-1 max,0.6272759124433458,"[1.7892631689140106, 0.9920577937378591, 0.2779177725674971, 0.7450197904129154, 0.5709081048450966, 0.1489421399444913, 0.19555843390973987, 0.2985400952151557]"
23,channel-0 landscape dim-1 mean,0.7785361133556461,"[2.0856334065863935, 1.3424016528132583, 0.27785819662184985, 0.807666146987543, 0.8394032775427837, 0.2510994535824167, 0.18763258086665452, 0.43659419184426973]"
24,channel-0 landscape dim-1 std,0.785199039599302,"[2.242963052914737, 1.3078067307315644, 0.3138816925973231, 0.784286337890423, 0.8588299065424481, 0.21118488707900496, 0.19285463599141137, 0.36978507304750513]"
25,channel-0 landscape dim-1 sum,0.7785361133556461,"[2.0856334065863935, 1.3424016528132583, 0.27785819662184985, 0.807666146987543, 0.8394032775427837, 0.2510994535824167, 0.18763258086665452, 0.43659419184426973]"
26,channel-0 landscape dim-1 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27,channel-0 landscape dim-1 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,channel-0 landscape dim-1 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29,channel-0 landscape dim-1 kurtosis,0.42513515377575195,"[1.2292840368939932, 0.7603236917621463, 0.13380074587296462, 0.44747775936050216, 0.48731336900643796, 0.051241603464612706, 0.10235954156354019, 0.18928048228181849]"
30,channel-0 landscape dim-1 skew,0.4499900086648459,"[1.2451762805554332, 0.8044571298506797, 0.15134467647330035, 0.4730375715152018, 0.5057954358453933, 0.06888932285237102, 0.0965088864545918, 0.2547107657717961]"
31,channel-0 landscape dim-1 norm-1,0.7785361133556461,"[2.0856334065863935, 1.3424016528132583, 0.27785819662184985, 0.807666146987543, 0.8394032775427837, 0.2510994535824167, 0.18763258086665452, 0.43659419184426973]"
32,channel-0 landscape dim-1 norm-2,0.7797605645318466,"[2.194610100881178, 1.2896920693103398, 0.30461947390974214, 0.7863723992380792, 0.8729823186064505, 0.21383889191824623, 0.20246447959311836, 0.3735047827976195]"
33,channel-0 landscape dim-2 max,0.35474543116547563,"[1.0459324446909835, 0.5431698896227366, 0.08472630523625496, 0.4305204519078629, 0.37931998151214164, 0.07639183342661308, 0.11599417852200541, 0.1619083644052069]"
34,channel-0 landscape dim-2 mean,0.5023838425864476,"[1.6419294743540123, 0.7433127865423275, 0.14919028077883353, 0.6107169863275276, 0.5018982476938982, 0.06742416627540826, 0.08283038607227089, 0.22176841264730274]"
35,channel-0 landscape dim-2 std,0.4417268981361998,"[1.3870249669215537, 0.6832766622211817, 0.10690198019268178, 0.5530635164143565, 0.4704825933305525, 0.07470895513094962, 0.09346125041651084, 0.16489526046181166]"
36,channel-0 landscape dim-2 sum,0.5023838425864476,"[1.6419294743540123, 0.7433127865423275, 0.14919028077883353, 0.6107169863275276, 0.5018982476938982, 0.06742416627540826, 0.08283038607227089, 0.22176841264730274]"
37,channel-0 landscape dim-2 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
38,channel-0 landscape dim-2 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
39,channel-0 landscape dim-2 percentile-75,0.006715872930944294,"[0.004645586667528108, 0.001916974208583025, 0.003622106474712593, 0.01544693975973873, 0.017476951897732747, 0.0026176014245913757, 0.0015222602773060892, 0.006478562737361683]"
40,channel-0 landscape dim-2 kurtosis,0.27649542097840835,"[0.8248241679111394, 0.40490264857925484, 0.1200783482363485, 0.36345116025345636, 0.27552984568417205, 0.041153244973833325, 0.022369041605248562, 0.15965491058381384]"
41,channel-0 landscape dim-2 skew,0.3171358744642879,"[1.0036128839365555, 0.45391450996265786, 0.15113912806286728, 0.3570295935492851, 0.2956824424823691, 0.04805625623092179, 0.02786652965765035, 0.1997856518319967]"
42,channel-0 landscape dim-2 norm-1,0.5023838425864476,"[1.6419294743540123, 0.7433127865423275, 0.14919028077883353, 0.6107169863275276, 0.5018982476938982, 0.06742416627540826, 0.08283038607227089, 0.22176841264730274]"
43,channel-0 landscape dim-2 norm-2,0.4431247617504338,"[1.3677555762962252, 0.7140604351984501, 0.11951244504646538, 0.5289093231104725, 0.46263770379830743, 0.09111424894705714, 0.0914630274269767, 0.16954533417951598]"
44,channel-0 silhouette-1 dim-1 max,0.32917613476213636,"[1.015760566851302, 0.46775147217722324, 0.14225238933399345, 0.4336497243245051, 0.1874508126972184, 0.10182686597435539, 0.09350162891888915, 0.19121561781960458]"
45,channel-0 silhouette-1 dim-1 mean,0.7636660781286917,"[2.118850001883862, 1.2409566966973855, 0.35722156075283346, 0.7928971516094965, 0.7821420512256116, 0.21576509560751522, 0.22900754052876307, 0.37248852672406585]"
46,channel-0 silhouette-1 dim-1 std,0.5877824719835958,"[1.6927719399831935, 0.8725880039696836, 0.3090806190957841, 0.7559170368390462, 0.47094472947369553, 0.1449794023494177, 0.17190411589210502, 0.2840739282658402]"
47,channel-0 silhouette-1 dim-1 sum,0.7636660781286917,"[2.118850001883862, 1.2409566966973855, 0.35722156075283346, 0.7928971516094965, 0.7821420512256116, 0.21576509560751522, 0.22900754052876307, 0.37248852672406585]"
48,channel-0 silhouette-1 dim-1 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
49,channel-0 silhouette-1 dim-1 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
50,channel-0 silhouette-1 dim-1 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
51,channel-0 silhouette-1 dim-1 kurtosis,0.33086643519267944,"[0.8593077698306979, 0.45889571363134674, 0.07849331514109194, 0.4189539409012516, 0.5281057813961182, 0.06753778738384145, 0.059547821937429725, 0.17608935131965778]"
52,channel-0 silhouette-1 dim-1 skew,0.3115033480748302,"[0.7903075875961265, 0.4725604298794277, 0.08658606127440327, 0.4119276360391394, 0.45676565746244147, 0.04794203867413663, 0.0505101127633444, 0.17542726090962235]"
53,channel-0 silhouette-1 dim-1 norm-1,0.7636660781286917,"[2.118850001883862, 1.2409566966973855, 0.35722156075283346, 0.7928971516094965, 0.7821420512256116, 0.21576509560751522, 0.22900754052876307, 0.37248852672406585]"
54,channel-0 silhouette-1 dim-1 norm-2,0.6266180133023462,"[1.7468046369677404, 0.9352900629368791, 0.33492552632909545, 0.8590587336319179, 0.5002878213285523, 0.16480557615971225, 0.1953164136416311, 0.2764553354232413]"
55,channel-0 silhouette-1 dim-2 max,0.20169055344155173,"[0.554639357182139, 0.2979566889617722, 0.0407372814904431, 0.28278231584057845, 0.2438612293582253, 0.02916994448429258, 0.0427412803631391, 0.12163632985182438]"
56,channel-0 silhouette-1 dim-2 mean,0.4100906115212005,"[1.2247679625349863, 0.6592812941465587, 0.1252605075733853, 0.5198514625650028, 0.42043079740598677, 0.04864168967680198, 0.09077085847886537, 0.1917203197880169]"
57,channel-0 silhouette-1 dim-2 std,0.3036663297082444,"[0.88102190348696, 0.4962296663782395, 0.07638570452506128, 0.4137621564789808, 0.305433665209278, 0.058613849180908985, 0.06390907469881586, 0.133974617707711]"
58,channel-0 silhouette-1 dim-2 sum,0.4100906115212005,"[1.2247679625349863, 0.6592812941465587, 0.1252605075733853, 0.5198514625650028, 0.42043079740598677, 0.04864168967680198, 0.09077085847886537, 0.1917203197880169]"
59,channel-0 silhouette-1 dim-2 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
60,channel-0 silhouette-1 dim-2 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
61,channel-0 silhouette-1 dim-2 percentile-75,0.006715872930944294,"[0.004645586667528108, 0.001916974208583025, 0.003622106474712593, 0.01544693975973873, 0.017476951897732747, 0.0026176014245913757, 0.0015222602773060892, 0.006478562737361683]"
62,channel-0 silhouette-1 dim-2 kurtosis,0.2468809603374486,"[0.6175403922696788, 0.3878391420874243, 0.12348585125749402, 0.26908354776758814, 0.27785441796254806, 0.11664735247508569, 0.02106340706315281, 0.16153357181661693]"
63,channel-0 silhouette-1 dim-2 skew,0.26369364815593044,"[0.7340130814140662, 0.3904190387656212, 0.10945181646053803, 0.28523875153472883, 0.2721013054881928, 0.10640320404041081, 0.027541060733797973, 0.18438092681008755]"
64,channel-0 silhouette-1 dim-2 norm-1,0.4100906115212005,"[1.2247679625349863, 0.6592812941465587, 0.1252605075733853, 0.5198514625650028, 0.42043079740598677, 0.04864168967680198, 0.09077085847886537, 0.1917203197880169]"
65,channel-0 silhouette-1 dim-2 norm-2,0.3065919581528267,"[0.8908211222398479, 0.49613209577377426, 0.06545994083555368, 0.424125782224832, 0.30461719693592204, 0.059351668876220995, 0.07331252674987951, 0.1389153315865832]"
66,channel-0 silhouette-2 dim-1 max,0.276413861338739,"[0.8099126700767483, 0.44737972322553604, 0.1376056307699175, 0.3634316715845892, 0.18390811853970915, 0.061677335316495344, 0.04887366938227404, 0.1585220718146426]"
67,channel-0 silhouette-2 dim-1 mean,0.6995966080145909,"[2.016195948613374, 1.0458598169919346, 0.3226593350749376, 0.7306097539054385, 0.7616955724541101, 0.1647734603818444, 0.2211355602772668, 0.33384341641782084]"
68,channel-0 silhouette-2 dim-1 std,0.5094374375525039,"[1.5413456534171965, 0.7364355611644241, 0.2611308888783902, 0.6139345856093391, 0.41595754727889567, 0.11231622340368096, 0.1406518880210793, 0.2537271526470251]"
69,channel-0 silhouette-2 dim-1 sum,0.6995966080145909,"[2.016195948613374, 1.0458598169919346, 0.3226593350749376, 0.7306097539054385, 0.7616955724541101, 0.1647734603818444, 0.2211355602772668, 0.33384341641782084]"
70,channel-0 silhouette-2 dim-1 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
71,channel-0 silhouette-2 dim-1 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
72,channel-0 silhouette-2 dim-1 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
73,channel-0 silhouette-2 dim-1 kurtosis,0.35252768135695367,"[0.8529227141041513, 0.4955490084117603, 0.05953718062247726, 0.4226865107298765, 0.5733845045150721, 0.07112032097926098, 0.05778998458325281, 0.2872312269097778]"
74,channel-0 silhouette-2 dim-1 skew,0.3507809586166297,"[0.8401778183068842, 0.5075617162905548, 0.0662948545454238, 0.39690887974498135, 0.585160897755663, 0.07001249010196976, 0.05771590930902629, 0.2824151028785344]"
75,channel-0 silhouette-2 dim-1 norm-1,0.6995966080145909,"[2.016195948613374, 1.0458598169919346, 0.3226593350749376, 0.7306097539054385, 0.7616955724541101, 0.1647734603818444, 0.2211355602772668, 0.33384341641782084]"
76,channel-0 silhouette-2 dim-1 norm-2,0.523603851073937,"[1.5887594323678365, 0.7611988424250892, 0.27910705500186517, 0.6265207217570778, 0.41846914298757054, 0.11037150907785323, 0.14694664622808057, 0.25745745874612325]"
77,channel-0 silhouette-2 dim-2 max,0.1793114578118969,"[0.4191160424987596, 0.28503964359018696, 0.04385167044772673, 0.24594700157336513, 0.1983817040437249, 0.018017394674679877, 0.08006607303539942, 0.14407213263133245]"
78,channel-0 silhouette-2 dim-2 mean,0.35880062722543515,"[1.0988436316188774, 0.5388319289912802, 0.0958094807644013, 0.4403128986522106, 0.40633482765187623, 0.07649456329489196, 0.06179347680865094, 0.15198421002129228]"
79,channel-0 silhouette-2 dim-2 std,0.2771144123490536,"[0.805617248185492, 0.43842755616659046, 0.0885412207923287, 0.3799180793902975, 0.25695502667497905, 0.02749448431763166, 0.06505994758377122, 0.15490173568133847]"
80,channel-0 silhouette-2 dim-2 sum,0.35880062722543515,"[1.0988436316188774, 0.5388319289912802, 0.0958094807644013, 0.4403128986522106, 0.40633482765187623, 0.07649456329489196, 0.06179347680865094, 0.15198421002129228]"
81,channel-0 silhouette-2 dim-2 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
82,channel-0 silhouette-2 dim-2 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
83,channel-0 silhouette-2 dim-2 percentile-75,0.006715872930944294,"[0.004645586667528108, 0.001916974208583025, 0.003622106474712593, 0.01544693975973873, 0.017476951897732747, 0.0026176014245913757, 0.0015222602773060892, 0.006478562737361683]"
