,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 471.5)","(472.5, 1645.5)","(1646.5, 1722.5)","(1723.5, 1851.5)","(1852.5, 2158.5)","(2161.5, 2213.5)","(2214.5, 2263.5)"
"Time length, sec",466.0,1173.0,76.0,128.0,306.0,52.0,49.0
Number of epochs,425,1052,72,115,286,53,50
