,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 131.5)","(132.5, 311.5)","(312.5, 799.5)","(800.5, 1124.5)","(1125.5, 1352.5)","(1353.5, 1465.5)","(1468.5, 2030.5)","(2031.5, 2345.5)"
"Time length, sec",121.0,179.0,487.0,324.0,227.0,112.0,562.0,314.0
Number of epochs,107,155,416,278,187,101,489,284
