,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 72.5)","(73.5, 429.5)","(430.5, 646.5)","(647.5, 1104.5)","(1105.5, 1298.5)","(1300.5, 1415.5)","(1416.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",62.0,356.0,216.0,457.0,193.0,115.0,685.0,243.0
Number of epochs,54,311,183,389,159,104,595,222
