Dimension,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
dim-2,1852.0972789115647,1.2099508098607417,0.21008538825469839,0.38912857887428454,0.14857885031093646,2600.0993197278913,2768.922448979592,-168.8231292517007
dim-3,1535.095238095238,1.4158648677002663,0.2510146045202842,0.4094506099389171,0.15808869789872207,2161.1666666666665,2523.2619047619046,-362.0952380952381
all,1874.9738095238095,1.5878971568315505,0.2852091944399559,0.8755112325036234,0.37618527855853384,2046.7714285714285,1289.9142857142858,756.8571428571429
norm-1,1874.987012987013,1.6646779188074186,0.30047078679998734,0.6788415230311696,0.2841522058666961,1737.4025974025974,1742.5662337662338,-5.163636363636364
dim-1,1874.9897959183672,1.6712362496680948,0.30177437600100765,0.6780385351091311,0.2837764416170927,1770.0632653061225,1788.7795918367347,-18.716326530612246
norm-2,1875.0,1.6763986331060414,0.30280049490903416,0.6652286377415589,0.27778195360586255,1717.9896103896103,1782.9272727272728,-64.93766233766233
