,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 72.5)","(73.5, 411.5)","(412.5, 666.5)","(668.5, 847.5)","(848.5, 996.5)","(997.5, 1315.5)","(1316.5, 1829.5)","(1830.5, 2345.5)"
"Time length, sec",62.0,338.0,254.0,179.0,148.0,318.0,513.0,515.0
Number of epochs,54,294,219,149,127,266,445,463
