,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 63.5)","(64.5, 415.5)","(416.5, 587.5)","(588.5, 942.5)","(943.5, 1053.5)","(1055.5, 1278.5)","(1279.5, 1531.5)"
"Time length, sec",58.0,351.0,171.0,354.0,110.0,223.0,252.0
Number of epochs,52,339,161,335,98,203,231
