,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 80.5)","(81.5, 159.5)","(160.5, 305.5)","(306.5, 481.5)","(482.5, 643.5)","(644.5, 708.5)","(709.5, 887.5)","(888.5, 1026.5)","(1027.5, 1112.5)","(1113.5, 1304.5)"
"Time length, sec",72.0,78.0,145.0,175.0,161.0,64.0,178.0,138.0,85.0,191.0
Number of epochs,67,74,130,155,143,58,164,128,80,181
