,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 308.5)","(309.5, 1099.5)","(1100.5, 1516.5)","(1517.5, 1826.5)","(1827.5, 2186.5)","(2187.5, 2562.5)","(2563.5, 2987.5)"
"Time length, sec",303.0,790.0,416.0,309.0,359.0,375.0,424.0
Number of epochs,283,728,390,286,330,345,397
