,0,1,2,3,4,5,6,7
"Start-end time, sec","(np.float64(30120.0), np.float64(30810.0))","(np.float64(30825.0), np.float64(34470.0))","(np.float64(34485.0), np.float64(37665.0))","(np.float64(37680.0), np.float64(40560.0))","(np.float64(40575.0), np.float64(48075.0))","(np.float64(48090.0), np.float64(49770.0))","(np.float64(49785.0), np.float64(55800.0))","(np.float64(55815.0), np.float64(56925.0))"
"Time length, sec",690.0,3645.0,3180.0,2880.0,7500.0,1680.0,6015.0,1110.0
Number of epochs,47,244,213,193,501,113,402,75
