,0,1,2,3,4,5,6,7,8,9,10,11
"Start-end time, sec","(5.5, 163.5)","(164.5, 617.5)","(618.5, 1115.5)","(1116.5, 1213.5)","(1214.5, 1625.5)","(1626.5, 1673.5)","(1674.5, 2113.5)","(2114.5, 2469.5)","(2470.5, 2719.5)","(2720.5, 2898.5)","(2899.5, 3324.5)","(3325.5, 3562.5)"
"Time length, sec",158.0,453.0,497.0,97.0,411.0,47.0,439.0,355.0,249.0,178.0,425.0,237.0
Number of epochs,153,427,472,96,385,46,411,331,241,163,399,229
