,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 1644.5)","(1645.5, 1730.5)","(1731.5, 1781.5)","(1782.5, 1854.5)","(1855.5, 1952.5)","(1953.5, 2151.5)","(2152.5, 2263.5)"
"Time length, sec",1639.0,85.0,50.0,72.0,97.0,198.0,111.0
Number of epochs,1476,79,42,70,94,182,110
