,0,1,2,3,4,5
"Start-end time, sec","(5.5, 539.5)","(540.5, 853.5)","(854.5, 1419.5)","(1420.5, 1750.5)","(1751.5, 2180.5)","(2181.5, 2346.5)"
"Time length, sec",534.0,313.0,565.0,330.0,429.0,165.0
Number of epochs,509,300,528,317,399,158
