,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 411.5)","(412.5, 666.5)","(668.5, 860.5)","(861.5, 996.5)","(997.5, 1170.5)","(1171.5, 1389.5)","(1390.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",401.0,254.0,192.0,135.0,173.0,218.0,711.0,243.0
Number of epochs,348,219,162,114,151,180,621,222
