Dimension,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
dim-3,1289.142857142857,0.3999548016137358,0.15691473586442667,0.19411767612103478,0.06499628128745848,3624.6190476190477,3921.5,-296.8809523809524
dim-2,1342.93894993895,0.6089679258311045,0.23645875839646296,0.24125186133973786,0.0921934179801159,2829.797313797314,3346.6715506715504,-516.8742368742369
dim-1,1342.9945054945056,0.884377351789029,0.3412711890319162,0.40502327078872263,0.18669199451148205,1974.080586080586,1822.3882783882784,151.69230769230768
norm-2,1343.0,0.900879232841155,0.3475513018389292,0.4096883680704203,0.1893838260954198,1909.841491841492,1719.6153846153845,190.22610722610722
norm-1,1342.986013986014,0.8888644547512966,0.34297884361327635,0.4123053203188209,0.19089384706401533,1942.5874125874127,1697.2727272727273,245.3146853146853
all,1342.991452991453,0.7386362082185897,0.2858065532516506,0.4637907754172907,0.2206017321902682,2376.094017094017,1470.559829059829,905.534188034188
