,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 163.5)","(164.5, 319.5)","(320.5, 419.5)","(420.5, 501.5)","(502.5, 634.5)","(635.5, 772.5)","(773.5, 954.5)","(955.5, 1045.5)","(1046.5, 1102.5)","(1103.5, 1304.5)"
"Time length, sec",155.0,155.0,99.0,81.0,132.0,137.0,181.0,90.0,56.0,201.0
Number of epochs,145,140,87,72,116,126,170,81,54,189
