,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 107.5)","(109.1, 198.7)","(199.5, 449.9)","(450.7, 506.7)","(507.5, 620.3)","(621.1, 704.3)","(705.1, 769.9)","(770.7, 877.1)","(877.9, 938.7)"
"Time length, sec",97.6,89.6,250.39999999999998,56.0,112.79999999999995,83.19999999999993,64.79999999999995,106.39999999999998,60.80000000000007
Number of epochs,111,99,276,68,128,98,75,121,70
