,0,1,2,3,4,5,6,7
"Start-end time, sec","(5.5, 99.5)","(100.5, 259.5)","(260.5, 302.5)","(303.5, 346.5)","(347.5, 651.5)","(652.5, 1017.5)","(1018.5, 1503.5)","(1504.5, 1765.5)"
"Time length, sec",94.0,159.0,42.0,43.0,304.0,365.0,485.0,261.0
Number of epochs,86,149,41,44,273,347,452,240
