,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 49.1)","(49.9, 177.1)","(177.9, 268.3)","(269.1, 508.3)","(509.1, 620.3)","(621.1, 717.1)","(719.5, 758.7)","(759.5, 877.1)","(877.9, 938.7)"
"Time length, sec",39.2,127.19999999999999,90.4,239.2,111.19999999999993,96.0,39.200000000000045,117.60000000000002,60.80000000000007
Number of epochs,45,141,102,268,126,113,47,134,70
