,N_clusters,K_neighb,Silh,Cal-Har,Dav-Bold,Len_min,St_edges
0,2,20,0.31023945101198597,381.6775176382124,1.2379489486842667,0,[   0  210  239 1046]
1,2,20,0.31023945101198597,381.6775176382124,1.2379489486842667,20,[   0  210  239 1046]
2,2,20,0.31023945101198597,381.6775176382124,1.2379489486842667,40,[   0  239 1046]
3,2,20,0.31023945101198597,381.6775176382124,1.2379489486842667,60,[   0  239 1046]
4,2,21,0.31023945101198597,381.6775176382124,1.2379489486842667,0,[   0  210  239 1046]
5,2,21,0.31023945101198597,381.6775176382124,1.2379489486842667,20,[   0  210  239 1046]
6,2,21,0.31023945101198597,381.6775176382124,1.2379489486842667,40,[   0  239 1046]
7,2,21,0.31023945101198597,381.6775176382124,1.2379489486842667,60,[   0  239 1046]
8,2,22,0.3010617930533685,395.47280296599996,1.293738756699887,0,[   0  245  282 1046]
9,2,22,0.3010617930533685,395.47280296599996,1.293738756699887,20,[   0  245  282 1046]
10,2,22,0.3010617930533685,395.47280296599996,1.293738756699887,40,[   0  245 1046]
11,2,22,0.3010617930533685,395.47280296599996,1.293738756699887,60,[   0  245 1046]
12,2,23,0.2869117484409317,388.83820033350867,1.3626541126655167,0,[   0  265  284 1046]
13,2,23,0.2869117484409317,388.83820033350867,1.3626541126655167,20,[   0  265 1046]
14,2,23,0.2869117484409317,388.83820033350867,1.3626541126655167,40,[   0  265 1046]
15,2,23,0.2869117484409317,388.83820033350867,1.3626541126655167,60,[   0  265 1046]
16,2,24,0.2869117484409317,388.83820033350867,1.3626541126655167,0,[   0  265  284 1046]
17,2,24,0.2869117484409317,388.83820033350867,1.3626541126655167,20,[   0  265 1046]
18,2,24,0.2869117484409317,388.83820033350867,1.3626541126655167,40,[   0  265 1046]
19,2,24,0.2869117484409317,388.83820033350867,1.3626541126655167,60,[   0  265 1046]
20,2,25,0.2869117484409317,388.83820033350867,1.3626541126655167,0,[   0  265  284 1046]
21,2,25,0.2869117484409317,388.83820033350867,1.3626541126655167,20,[   0  265 1046]
22,2,25,0.2869117484409317,388.83820033350867,1.3626541126655167,40,[   0  265 1046]
23,2,25,0.2869117484409317,388.83820033350867,1.3626541126655167,60,[   0  265 1046]
24,2,26,0.3091732629990554,354.1812761991267,1.2072251647156915,0,[   0  168  210 1046]
25,2,26,0.3091732629990554,354.1812761991267,1.2072251647156915,20,[   0  168  210 1046]
26,2,26,0.3091732629990554,354.1812761991267,1.2072251647156915,40,[   0  168  210 1046]
27,2,26,0.3091732629990554,354.1812761991267,1.2072251647156915,60,[   0  210 1046]
28,2,27,0.3091732629990554,354.1812761991267,1.2072251647156915,0,[   0  168  210 1046]
29,2,27,0.3091732629990554,354.1812761991267,1.2072251647156915,20,[   0  168  210 1046]
30,2,27,0.3091732629990554,354.1812761991267,1.2072251647156915,40,[   0  168  210 1046]
31,2,27,0.3091732629990554,354.1812761991267,1.2072251647156915,60,[   0  210 1046]
32,2,28,0.3091732629990554,354.1812761991267,1.2072251647156915,0,[   0  168  210 1046]
33,2,28,0.3091732629990554,354.1812761991267,1.2072251647156915,20,[   0  168  210 1046]
34,2,28,0.3091732629990554,354.1812761991267,1.2072251647156915,40,[   0  168  210 1046]
35,2,28,0.3091732629990554,354.1812761991267,1.2072251647156915,60,[   0  210 1046]
36,2,29,0.30754855582251495,362.20238630749134,1.2145012286344055,0,[   0  180  232 1046]
37,2,29,0.30754855582251495,362.20238630749134,1.2145012286344055,20,[   0  180  232 1046]
38,2,29,0.30754855582251495,362.20238630749134,1.2145012286344055,40,[   0  180  232 1046]
39,2,29,0.30754855582251495,362.20238630749134,1.2145012286344055,60,[   0  232 1046]
40,2,30,0.296151701549411,372.08615317592677,1.2817696098209517,0,[   0  180  282 1046]
41,2,30,0.296151701549411,372.08615317592677,1.2817696098209517,20,[   0  180  282 1046]
42,2,30,0.296151701549411,372.08615317592677,1.2817696098209517,40,[   0  180  282 1046]
43,2,30,0.296151701549411,372.08615317592677,1.2817696098209517,60,[   0  180  282 1046]
44,2,31,0.30951136198947876,371.47039933246623,1.2254713119099594,0,[   0  180  232 1046]
45,2,31,0.30951136198947876,371.47039933246623,1.2254713119099594,20,[   0  180  232 1046]
