,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 61.5)","(62.5, 219.5)","(220.5, 295.5)","(296.5, 697.5)","(698.5, 770.5)","(771.5, 919.5)","(920.5, 1059.5)","(1060.5, 1166.5)","(1167.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",53.0,157.0,75.0,401.0,72.0,148.0,139.0,106.0,71.0,65.0
Number of epochs,52,143,66,357,66,138,127,97,71,63
