,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 470.5)","(471.5, 1689.5)","(1690.5, 1749.5)","(1750.5, 1852.5)","(1853.5, 2163.5)","(2164.5, 2213.5)","(2214.5, 2263.5)"
"Time length, sec",465.0,1218.0,59.0,102.0,310.0,49.0,49.0
Number of epochs,424,1092,51,98,288,50,50
