,0,1,2,3,4,5
"Start-end time, sec","(5.5, 407.5)","(408.5, 612.5)","(613.5, 1125.5)","(1126.5, 1382.5)","(1383.5, 2196.5)","(2197.5, 2346.5)"
"Time length, sec",402.0,204.0,512.0,256.0,813.0,149.0
Number of epochs,384,197,483,238,767,142
