,0,1,2,3,4
"Start-end time, sec","(5.5, 159.5)","(160.5, 520.5)","(522.5, 898.5)","(900.5, 1226.5)","(1227.5, 1281.5)"
"Time length, sec",154.0,360.0,376.0,326.0,54.0
Number of epochs,148,337,352,309,51
