,St_len_min,K_nb_max,N_cl_max,N_stages,Cl_cen,St_edges,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
88,40,40,20,3,Mode,"[0, 722, 1052, 2017]",152.3143724898767,0.7532616372458355,-0.020377009863943772,52.542213451931204,6.21596642200592,0.04831016081278034,53.43994581622026,4.875190799822626,0.6586435215857329,0.4068602563271007,0.5975757467310289
88,40,40,20,4,Mode,"[0, 722, 1052, 1723, 2017]",173.3283109496397,0.875777886288807,-0.05092614227280814,56.318566328339394,5.868790474803761,0.051201058824186,62.05404749923068,3.565066073531805,0.7049530801433341,0.47786534478518666,0.6138721506238465
124,60,40,20,5,Mode,"[0, 387, 722, 1052, 1723, 2017]",203.93663499250255,1.0227266188091593,-0.07094615715536128,67.35425687256732,4.865765031988662,0.07003970486378594,74.22172759382947,3.1373331559303637,0.779409346285791,0.6026376027865396,0.6896056559359581
124,60,40,20,6,Mode,"[0, 387, 722, 1052, 1277, 1723, 2017]",185.35143547033323,1.044019752090398,-0.07824644559865,63.382284492020354,8.341519898900996,0.07388439711527353,67.76630219017645,3.0347747315251365,0.8447738659179931,0.7344630455175422,0.7802950505446756
1,0,35,10,7,Mode,"[0, 460, 722, 1069, 1200, 1277, 1723, 2017]",119.04416940607906,0.9085241086731967,-0.08833737380654724,48.860543239592594,9.585803757292814,0.06890894408199076,43.089484087970646,3.8492344003563823,0.79598261667367,0.6697929126421149,0.7254141399181813
114,60,35,20,8,Median,"[0, 420, 505, 722, 1069, 1272, 1463, 1723, 2017]",103.61395880327355,0.9619203365619404,-0.0967486927693202,50.10065932758818,8.807464997172758,0.06656166370617603,40.08445627665132,3.8744177556286905,0.8518182621290842,0.78232412391749,0.8130082253437324
4,0,35,15,9,Mode,"[0, 40, 460, 494, 722, 1052, 1200, 1325, 1723, 2017]",94.24410100770515,1.1456750526983104,-0.12764610358296793,43.40519607577162,7.585998571492041,0.08846327130119998,36.58727652471585,3.3771032353907344,0.7877928755981497,0.6565527627813939,0.7072208244579057
52,20,40,20,10,Mode,"[0, 40, 460, 494, 722, 784, 1052, 1200, 1461, 1723, 2017]",83.49093861151962,1.1841048610851284,-0.14286083754762843,41.09385364601674,10.06711751364577,0.09121586018006106,32.454627253383414,3.2718012624121915,0.7939541511984177,0.6616671212377485,0.7079396178134398
13,0,40,15,11,Mode,"[0, 40, 460, 494, 722, 784, 1052, 1200, 1277, 1461, 1723, 2017]",71.78664783317575,1.0770332971392502,-0.14220966171210872,37.608034715116744,11.05044426860218,0.08625851190060635,27.984886319015914,4.1252926340129745,0.813869058211141,0.6828851824812233,0.7255562399904435
13,0,40,15,12,Mode,"[0, 40, 460, 494, 722, 784, 1052, 1200, 1277, 1461, 1723, 2016, 2017]",65.63560806627306,1.1491538813013789,-0.24317207786700876,34.31945493207598,10.316001632915105,0.0834396751493039,25.59876897808615,3.8128143302119653,0.8132773880174152,0.6826886155633017,0.7253762539744683
40,20,35,15,13,Mode,"[0, 40, 460, 494, 615, 722, 784, 906, 1052, 1200, 1277, 1461, 1723, 2017]",64.8133816822684,1.0473893171070414,-0.14327478234709443,33.54573388812804,11.405560316454872,0.08820917442635444,26.276348480016846,4.253910750918172,0.7868288508374148,0.6136395346221601,0.6649847216843378
96,40,45,20,14,Median,"[0, 45, 420, 499, 615, 722, 784, 840, 1052, 1200, 1280, 1466, 1647, 1723, 2017]",71.92321032173423,1.0584556659857403,-0.13136693400482066,34.06787417981923,10.042116422032962,0.08777169354428313,29.543623028603314,3.780758046308487,0.7882637556952243,0.6186806287364685,0.6712441317500474
40,20,35,15,15,Mode,"[0, 40, 387, 460, 494, 615, 722, 784, 906, 1052, 1200, 1277, 1461, 1647, 1723, 2017]",58.842364817239925,1.042385686618837,-0.14427607898668635,33.11677981056988,11.978863245118058,0.08521944766082323,24.155392397274294,3.599147108500809,0.791396273058135,0.6182541152779717,0.6733322595635507
52,20,40,20,16,Mode,"[0, 40, 203, 460, 494, 615, 722, 784, 840, 1052, 1200, 1277, 1325, 1461, 1637, 1723, 2017]",63.06423548670692,1.0686748033125488,-0.15752331090403598,30.597640227158934,11.611467200316884,0.0890826553498933,26.272544192138596,4.3364276777331385,0.7570682574520423,0.5160688399678242,0.5838570431884929
