,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 61.5)","(62.5, 116.5)","(117.5, 164.5)","(165.5, 244.5)","(245.5, 770.5)","(771.5, 927.5)","(928.5, 1059.5)","(1060.5, 1155.5)","(1156.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",53.0,54.0,47.0,79.0,525.0,156.0,131.0,95.0,82.0,65.0
Number of epochs,52,51,43,71,467,145,120,90,78,63
