,0,1,2,3,4,5,6,7
"Start-end time, sec","(11.5, 208.5)","(209.5, 659.5)","(660.5, 703.5)","(704.5, 928.5)","(929.5, 1002.5)","(1003.5, 1077.5)","(1078.5, 1283.5)","(1284.5, 1486.5)"
"Time length, sec",197.0,450.0,43.0,224.0,73.0,74.0,205.0,202.0
Number of epochs,191,444,43,215,70,73,198,193
