,0,1,2,3,4,5,6,7,8,9,10
"Start-end time, sec","(5.5, 107.5)","(108.5, 232.5)","(233.5, 393.5)","(394.5, 468.5)","(469.5, 663.5)","(664.5, 876.5)","(879.5, 985.5)","(986.5, 1038.5)","(1039.5, 1115.5)","(1116.5, 1242.5)","(1243.5, 1334.5)"
"Time length, sec",102.0,124.0,160.0,74.0,194.0,212.0,106.0,52.0,76.0,126.0,91.0
Number of epochs,97,121,156,70,180,208,102,49,74,121,86
