,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 304.5)","(305.5, 500.5)","(501.5, 1231.5)","(1232.5, 1718.5)","(1719.5, 2190.5)","(2191.5, 2564.5)","(2565.5, 2987.5)"
"Time length, sec",299.0,195.0,730.0,486.0,471.0,373.0,422.0
Number of epochs,279,178,683,445,436,343,395
