,0,1,2,3,4,5,6,7,8,9,10,11
"Start-end time, sec","(5.5, 164.5)","(165.5, 618.5)","(619.5, 1115.5)","(1116.5, 1214.5)","(1215.5, 1625.5)","(1626.5, 1973.5)","(1974.5, 2162.5)","(2163.5, 2458.5)","(2459.5, 2720.5)","(2721.5, 2898.5)","(2899.5, 3302.5)","(3303.5, 3562.5)"
"Time length, sec",159.0,453.0,496.0,98.0,410.0,347.0,188.0,295.0,261.0,177.0,403.0,259.0
Number of epochs,154,427,471,97,384,333,167,279,251,162,378,250
