,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 411.5)","(412.5, 646.5)","(647.5, 926.5)","(928.5, 996.5)","(997.5, 1315.5)","(1316.5, 1740.5)","(1741.5, 2120.5)","(2121.5, 2345.5)"
"Time length, sec",401.0,234.0,279.0,68.0,318.0,424.0,379.0,224.0
Number of epochs,348,200,234,61,266,371,332,205
