,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 411.5)","(412.5, 593.5)","(596.5, 849.5)","(850.5, 1079.5)","(1081.5, 1333.5)","(1334.5, 1576.5)","(1577.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",401.0,181.0,253.0,229.0,252.0,242.0,524.0,243.0
Number of epochs,348,159,211,197,210,214,456,222
