,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 437.5)","(438.5, 672.5)","(675.5, 762.5)","(763.5, 1171.5)","(1172.5, 1321.5)","(1323.5, 1502.5)","(1503.5, 2044.5)","(2045.5, 2345.5)"
"Time length, sec",427.0,234.0,87.0,408.0,149.0,179.0,541.0,300.0
Number of epochs,372,200,74,349,120,160,471,271
