,0,1,2,3,4,5,6,7,8,9,10,11
"Start-end time, sec","(5.5, 271.5)","(272.5, 579.5)","(580.5, 746.5)","(747.5, 897.5)","(898.5, 1035.5)","(1036.5, 1154.5)","(1155.5, 1632.5)","(1633.5, 1776.5)","(1777.5, 2175.5)","(2176.5, 2703.5)","(2704.5, 3486.5)","(3487.5, 3562.5)"
"Time length, sec",266.0,307.0,166.0,150.0,137.0,118.0,477.0,143.0,398.0,527.0,782.0,75.0
Number of epochs,254,288,159,142,131,116,450,139,366,502,731,75
