,0,1,2,3,4,5,6,7,8,9,10
"Start-end time, sec","(5.5, 335.5)","(336.5, 690.5)","(691.5, 844.5)","(845.5, 1033.5)","(1034.5, 1298.5)","(1300.5, 1367.5)","(1368.5, 1694.5)","(1695.5, 1933.5)","(1934.5, 2049.5)","(2050.5, 2341.5)","(2342.5, 2699.5)"
"Time length, sec",330.0,354.0,153.0,188.0,264.0,67.0,326.0,238.0,115.0,291.0,357.0
Number of epochs,314,332,146,186,247,66,312,230,111,275,335
