name,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF,Source,Algorithm,Dimension,Stat
channel-0 landscape dim-1 norm-2,2017,1.1503190001898635,0.1950428222076553,0.7620896143657421,0.6689474721477214,2896,131,2765,channel-0,landscape,dim-1,norm-2
channel-0 landscape dim-2 max,2017,0.7640604224873127,0.1295505865020937,0.3326795912514647,0.2920196882462705,4979,1545,3434,channel-0,landscape,dim-2,max
channel-0 landscape dim-2 mean,2017,1.311149575707839,0.2223125181277695,0.49669780201083913,0.43599169023319057,2332,647,1685,channel-0,landscape,dim-2,mean
channel-0 landscape dim-2 std,2017,0.9320390954879634,0.158032281099276,0.42220522444898706,0.3706035514704783,3839,886,2953,channel-0,landscape,dim-2,std
channel-0 landscape dim-2 sum,2017,1.311149575707839,0.2223125181277695,0.49669780201083913,0.43599169023319057,2333,650,1683,channel-0,landscape,dim-2,sum
channel-0 landscape dim-2 percentile-25,1,0.0,0.0,0.0,0.0,16004,17696,-1692,channel-0,landscape,dim-2,percentile-25
channel-0 landscape dim-2 median,1,0.0,0.0,0.0,0.0,16020,17707,-1687,channel-0,landscape,dim-2,median
channel-0 landscape dim-2 percentile-75,3,0.0,0.0,0.01162161264063966,0.010201226012909407,16005,15978,27,channel-0,landscape,dim-2,percentile-75
channel-0 landscape dim-2 kurtosis,2017,0.9968219661884212,0.1690165680058171,0.2849958282953766,0.25016380661414295,3539,1970,1569,channel-0,landscape,dim-2,kurtosis
channel-0 landscape dim-2 skew,2017,0.4875671281943746,0.0826696496215541,0.31136440708119484,0.27330963328648455,7838,1696,6142,channel-0,landscape,dim-2,skew
channel-0 landscape dim-2 norm-1,2017,1.311149575707839,0.2223125181277695,0.49669780201083913,0.43599169023319057,2331,649,1682,channel-0,landscape,dim-2,norm-1
channel-0 landscape dim-2 norm-2,2017,0.9660676667175014,0.1638020098155781,0.43943206701256166,0.3857249395182355,3686,817,2869,channel-0,landscape,dim-2,norm-2
channel-0 silhouette-1 dim-1 max,2017,0.7894016552763153,0.1338473298929031,0.3322287382935828,0.29162393827041444,4765,1552,3213,channel-0,silhouette-1,dim-1,max
channel-0 silhouette-1 dim-1 mean,2017,1.2305522455125462,0.2086468038858091,0.774709668749728,0.6800251109442562,2582,117,2465,channel-0,silhouette-1,dim-1,mean
channel-0 silhouette-1 dim-1 std,2017,1.0986019241170264,0.1862739116081526,0.578107133441743,0.507451221295378,3079,386,2693,channel-0,silhouette-1,dim-1,std
channel-0 silhouette-1 dim-1 sum,2017,1.2305522455125462,0.2086468038858091,0.774709668749728,0.6800251109442562,2585,120,2465,channel-0,silhouette-1,dim-1,sum
channel-0 silhouette-1 dim-1 percentile-25,1,0.0,0.0,0.0,0.0,16006,17697,-1691,channel-0,silhouette-1,dim-1,percentile-25
channel-0 silhouette-1 dim-1 median,1,0.0,0.0,0.0,0.0,16007,17698,-1691,channel-0,silhouette-1,dim-1,median
channel-0 silhouette-1 dim-1 percentile-75,105,0.0,0.0,0.0,0.0,16008,17699,-1691,channel-0,silhouette-1,dim-1,percentile-75
channel-0 silhouette-1 dim-1 kurtosis,2017,0.6122711869713033,0.1038138987912079,0.3189079836257609,0.2799312383645699,6347,1635,4712,channel-0,silhouette-1,dim-1,kurtosis
channel-0 silhouette-1 dim-1 skew,2017,0.5683519006943641,0.0963671457223754,0.2971073404381046,0.26079505690156124,6810,1842,4968,channel-0,silhouette-1,dim-1,skew
channel-0 silhouette-1 dim-1 norm-1,2017,1.2305522455125462,0.2086468038858091,0.774709668749728,0.6800251109442562,2584,118,2466,channel-0,silhouette-1,dim-1,norm-1
channel-0 silhouette-1 dim-1 norm-2,2017,1.151879782336838,0.1953074612814661,0.6195983823657621,0.5438714343002151,2888,311,2577,channel-0,silhouette-1,dim-1,norm-2
channel-0 silhouette-1 dim-2 max,2017,0.6063219228485862,0.102805168809036,0.20231274342488598,0.17758619950487514,6411,3142,3269,channel-0,silhouette-1,dim-2,max
channel-0 silhouette-1 dim-2 mean,2017,1.2733281402415235,0.215899688719512,0.4011619583480778,0.3521321809143388,2467,1008,1459,channel-0,silhouette-1,dim-2,mean
channel-0 silhouette-1 dim-2 std,2017,0.9139207551417604,0.1549602182764773,0.29369480882666354,0.25779960288661896,3941,1884,2057,channel-0,silhouette-1,dim-2,std
channel-0 silhouette-1 dim-2 sum,2017,1.2733281402415235,0.215899688719512,0.4011619583480778,0.3521321809143388,2465,1009,1456,channel-0,silhouette-1,dim-2,sum
channel-0 silhouette-1 dim-2 percentile-25,1,0.0,0.0,0.0,0.0,16009,17700,-1691,channel-0,silhouette-1,dim-2,percentile-25
channel-0 silhouette-1 dim-2 median,1,0.0,0.0,0.0,0.0,16010,17701,-1691,channel-0,silhouette-1,dim-2,median
channel-0 silhouette-1 dim-2 percentile-75,3,0.0,0.0,0.01162161264063966,0.010201226012909407,16011,15980,31,channel-0,silhouette-1,dim-2,percentile-75
channel-0 silhouette-1 dim-2 kurtosis,2017,0.5374965541605484,0.0911354544548598,0.2543770988737585,0.2232872802045642,7171,2307,4864,channel-0,silhouette-1,dim-2,kurtosis
channel-0 silhouette-1 dim-2 skew,2016,0.4246032403488383,0.0719937811185278,0.26764734865033885,0.23493564789712276,8766,2125,6641,channel-0,silhouette-1,dim-2,skew
channel-0 silhouette-1 dim-2 norm-1,2017,1.2733281402415235,0.215899688719512,0.4011619583480778,0.3521321809143388,2466,1010,1456,channel-0,silhouette-1,dim-2,norm-1
channel-0 silhouette-1 dim-2 norm-2,2017,0.9227575326516996,0.1564585418062766,0.29326574589584775,0.2574229797736004,3900,1890,2010,channel-0,silhouette-1,dim-2,norm-2
channel-0 silhouette-2 dim-1 max,2017,0.7527196615303179,0.1276276990050867,0.2981903156440418,0.26174567151794503,5090,1830,3260,channel-0,silhouette-2,dim-1,max
channel-0 silhouette-2 dim-1 mean,2017,1.1910868556916523,0.2019552331050762,0.6959434250105032,0.6108856309583257,2742,189,2553,channel-0,silhouette-2,dim-1,mean
