,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 72.5)","(73.5, 411.5)","(412.5, 646.5)","(647.5, 1124.5)","(1125.5, 1333.5)","(1334.5, 1513.5)","(1514.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",62.0,338.0,234.0,477.0,208.0,179.0,587.0,243.0
Number of epochs,54,294,200,408,169,160,510,222
