index,name,score,mean,variance,unique_values
33,channel-0 amplitude-landscape-2-1 dim-2,0.4403405043148288,6.7929515847045904e-18,1.0000000000000002,1026
34,channel-0 amplitude-landscape-2-1 norm-1,1.1224803936660837,-1.3585903169409181e-17,1.0000000000000004,1046
35,channel-0 amplitude-landscape-2-1 norm-2,1.1395499905379036,8.151541901645509e-17,1.0,1046
36,channel-0 amplitude-landscape-2-2 dim-1,1.1061260138814983,2.7171806338818362e-17,0.9999999999999998,1046
37,channel-0 amplitude-landscape-2-2 dim-2,0.5707156559641668,-1.8680616857937624e-16,1.0,1026
38,channel-0 amplitude-landscape-2-2 norm-1,1.0874153310242507,1.6303083803291018e-16,1.0,1046
39,channel-0 amplitude-landscape-2-2 norm-2,1.1050994097916218,0.0,1.0,1046
40,channel-0 amplitude-silhouette-1-1 dim-1,1.3390942155948582,-1.3585903169409181e-17,1.0000000000000002,1046
41,channel-0 amplitude-silhouette-1-1 dim-2,0.6595990188582839,1.3585903169409181e-17,1.0000000000000004,1026
42,channel-0 amplitude-silhouette-1-1 norm-1,1.3266235597895468,5.4343612677636724e-17,0.9999999999999998,1046
43,channel-0 amplitude-silhouette-1-1 norm-2,1.3361605251684279,-2.7171806338818362e-17,1.0000000000000002,1046
44,channel-0 amplitude-silhouette-1-2 dim-1,1.3095852485672164,-9.510132218586428e-17,1.0,1046
45,channel-0 amplitude-silhouette-1-2 dim-2,0.6209030895170045,-6.7929515847045904e-18,1.0,1026
46,channel-0 amplitude-silhouette-1-2 norm-1,1.3026411038083041,-1.3585903169409181e-17,1.0,1046
47,channel-0 amplitude-silhouette-1-2 norm-2,1.3087371031920223,5.4343612677636724e-17,1.0,1046
48,channel-0 amplitude-silhouette-2-1 dim-1,1.2901363915447164,-4.0757709508227546e-17,1.0,1046
49,channel-0 amplitude-silhouette-2-1 dim-2,0.5617133517694952,-3.3964757923522954e-17,1.0000000000000002,1026
50,channel-0 amplitude-silhouette-2-1 norm-1,1.2526916226640434,8.151541901645509e-17,0.9999999999999998,1046
51,channel-0 amplitude-silhouette-2-1 norm-2,1.2795549107262536,-4.0757709508227546e-17,1.0,1046
52,channel-0 amplitude-silhouette-2-2 dim-1,1.2464154350545202,1.3585903169409181e-17,1.0,1046
53,channel-0 amplitude-silhouette-2-2 dim-2,0.5097789635270371,-1.0189427377056886e-17,0.9999999999999996,1026
54,channel-0 amplitude-silhouette-2-2 norm-1,1.2258281798357502,0.0,1.0,1046
55,channel-0 amplitude-silhouette-2-2 norm-2,1.2434635897543556,2.7171806338818362e-17,1.0000000000000002,1046
56,channel-0 life all max,1.0225800754595131,5.4343612677636724e-17,1.0,1046
57,channel-0 life all mean,0.7605771929661661,-8.830837060115968e-17,1.0,1046
58,channel-0 life all std,1.0679467255213493,-5.4343612677636724e-17,1.0000000000000002,1046
59,channel-0 life all sum,0.5979309062054795,3.600264339893433e-16,0.9999999999999998,1046
60,channel-0 life all norm-1,0.5979309062054795,3.600264339893433e-16,0.9999999999999998,1046
61,channel-0 life all norm-2,0.8703367547164325,-1.3585903169409181e-17,1.0,1046
62,channel-0 life dim-1 max,1.0225800754595131,5.4343612677636724e-17,1.0,1046
63,channel-0 life dim-1 mean,0.7632915279152536,8.151541901645509e-17,1.0,1046
