Stat,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
std,4205.3171247357295,0.7867770991894525,0.16485783366841653,0.4997440596874944,0.18996623390136244,2669.2558139534885,2526.953488372093,142.30232558139534
max,4204.966173361522,0.7945506560090272,0.16654071538503618,0.5299715489319969,0.20227578558559675,2640.276955602537,2483.093023255814,157.18393234672305
norm-2,4205.841437632135,0.9986245363883711,0.21072026023189638,0.6255145401968462,0.24118379344320953,2296.5095137420717,2235.8414376321352,60.66807610993658
norm-1,4205.805496828752,1.0161382683368372,0.21451177291649304,0.5449735071531401,0.20838503861002622,2230.141649048626,2437.228329809725,-207.08668076109936
sum,4205.805496828752,1.0161382683368372,0.21451177291649304,0.5449735071531401,0.20838503861002622,2230.1458773784357,2437.4270613107824,-207.28118393234672
mean,4205.813953488372,1.1457429646215342,0.24256963353652872,0.7622549860229789,0.2968686560398657,2008.0380549682875,1896.4186046511627,111.61945031712473
