,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 66.7)","(67.5, 110.7)","(111.5, 241.9)","(242.7, 357.9)","(358.7, 494.7)","(495.5, 626.7)","(627.5, 713.9)","(714.7, 840.3)","(841.1, 938.7)"
"Time length, sec",56.800000000000004,43.2,130.4,115.19999999999999,136.0,131.20000000000005,86.39999999999998,125.59999999999991,97.60000000000002
Number of epochs,66,48,145,127,153,150,102,141,114
