,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 72.5)","(73.5, 411.5)","(412.5, 666.5)","(668.5, 996.5)","(997.5, 1171.5)","(1172.5, 1389.5)","(1390.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",62.0,338.0,254.0,328.0,174.0,217.0,711.0,243.0
Number of epochs,54,294,219,276,152,179,621,222
