,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 434.5)","(436.5, 618.5)","(619.5, 855.5)","(856.5, 1240.5)","(1242.5, 1502.5)","(1503.5, 1746.5)","(1747.5, 2158.5)","(2159.5, 2345.5)"
"Time length, sec",424.0,182.0,236.0,384.0,260.0,243.0,411.0,186.0
Number of epochs,370,156,198,328,223,210,362,170
