,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 78.5)","(79.5, 163.5)","(164.5, 269.5)","(270.5, 320.5)","(321.5, 456.5)","(457.5, 662.5)","(663.5, 843.5)","(844.5, 954.5)","(955.5, 1094.5)","(1095.5, 1304.5)"
"Time length, sec",70.0,84.0,105.0,50.0,135.0,205.0,180.0,110.0,139.0,209.0
Number of epochs,65,80,93,48,118,182,165,105,127,197
