,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 108.5)","(109.5, 219.5)","(220.5, 283.5)","(285.5, 767.5)","(768.5, 919.5)","(920.5, 991.5)","(992.5, 1059.5)","(1060.5, 1156.5)","(1161.5, 1249.5)","(1250.5, 1304.5)"
"Time length, sec",100.0,110.0,63.0,482.0,151.0,71.0,67.0,96.0,88.0,54.0
Number of epochs,95,100,55,431,141,65,62,91,88,52
