,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 103.5)","(104.5, 223.5)","(224.5, 287.5)","(288.5, 767.5)","(768.5, 946.5)","(947.5, 1059.5)","(1060.5, 1112.5)","(1113.5, 1156.5)","(1161.5, 1249.5)","(1250.5, 1304.5)"
"Time length, sec",95.0,119.0,63.0,479.0,178.0,112.0,52.0,43.0,88.0,54.0
Number of epochs,90,109,54,428,167,101,50,41,88,52
