,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 118.7)","(119.5, 185.1)","(185.9, 271.5)","(272.3, 506.7)","(507.5, 620.3)","(621.1, 717.1)","(719.5, 769.9)","(770.7, 877.1)","(877.9, 938.7)"
"Time length, sec",108.8,65.6,85.6,234.39999999999998,112.79999999999995,96.0,50.39999999999998,106.39999999999998,60.80000000000007
Number of epochs,124,70,98,262,128,113,60,121,70
