,0,1,2,3,4,5
"Start-end time, sec","(5.5, 639.5)","(640.5, 842.5)","(843.5, 1232.5)","(1233.5, 1322.5)","(1323.5, 1833.5)","(1834.5, 2346.5)"
"Time length, sec",634.0,202.0,389.0,89.0,510.0,512.0
Number of epochs,606,192,365,88,480,480
