,0,1,2,3,4,5,6,7
"Start-end time, sec","(11.5, 658.5)","(659.5, 706.5)","(707.5, 927.5)","(928.5, 1002.5)","(1003.5, 1291.5)","(1292.5, 1335.5)","(1336.5, 1399.5)","(1400.5, 1486.5)"
"Time length, sec",647.0,47.0,220.0,74.0,288.0,43.0,63.0,86.0
Number of epochs,634,47,211,71,279,41,62,82
