,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 24.5)","(26.5, 219.5)","(220.5, 296.5)","(297.5, 529.5)","(530.5, 770.5)","(771.5, 958.5)","(960.5, 1059.5)","(1060.5, 1166.5)","(1167.5, 1241.5)","(1242.5, 1304.5)"
"Time length, sec",16.0,193.0,76.0,232.0,240.0,187.0,99.0,106.0,74.0,62.0
Number of epochs,17,178,67,204,218,175,90,97,74,60
