,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 127.5)","(128.5, 411.5)","(412.5, 581.5)","(582.5, 857.5)","(858.5, 996.5)","(997.5, 1333.5)","(1334.5, 2120.5)","(2121.5, 2345.5)"
"Time length, sec",117.0,283.0,169.0,275.0,138.0,336.0,786.0,224.0
Number of epochs,104,244,150,228,117,282,687,205
