,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 61.5)","(62.5, 116.5)","(117.5, 237.5)","(238.5, 765.5)","(766.5, 919.5)","(920.5, 1059.5)","(1060.5, 1112.5)","(1113.5, 1156.5)","(1161.5, 1241.5)","(1242.5, 1304.5)"
"Time length, sec",53.0,54.0,120.0,527.0,153.0,139.0,52.0,43.0,80.0,62.0
Number of epochs,52,51,107,469,143,127,50,41,80,60
