,0,1,2,3,4,5,6,7
"Start-end time, sec","(10.5, 72.5)","(73.5, 411.5)","(412.5, 593.5)","(596.5, 996.5)","(997.5, 1187.5)","(1188.5, 1378.5)","(1379.5, 2101.5)","(2102.5, 2345.5)"
"Time length, sec",62.0,338.0,181.0,400.0,190.0,190.0,722.0,243.0
Number of epochs,54,294,159,336,166,157,629,222
