,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 116.5)","(117.5, 219.5)","(220.5, 298.5)","(299.5, 506.5)","(507.5, 762.5)","(763.5, 919.5)","(920.5, 1059.5)","(1060.5, 1156.5)","(1161.5, 1238.5)","(1239.5, 1304.5)"
"Time length, sec",108.0,102.0,78.0,207.0,255.0,156.0,139.0,96.0,77.0,65.0
Number of epochs,103,92,69,185,228,145,127,91,77,63
