,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 116.5)","(117.5, 214.5)","(215.5, 298.5)","(299.5, 516.5)","(517.5, 765.5)","(766.5, 919.5)","(920.5, 1046.5)","(1047.5, 1156.5)","(1161.5, 1250.5)","(1251.5, 1304.5)"
"Time length, sec",108.0,97.0,83.0,217.0,248.0,153.0,126.0,109.0,89.0,53.0
Number of epochs,103,87,74,194,221,143,116,102,89,51
