,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 296.5)","(297.5, 581.5)","(582.5, 1215.5)","(1216.5, 1526.5)","(1527.5, 2188.5)","(2189.5, 2564.5)","(2565.5, 2987.5)"
"Time length, sec",291.0,284.0,633.0,310.0,661.0,375.0,422.0
Number of epochs,271,262,591,285,610,345,395
