,Feature,IV,IVs
0,feature-0 betti-1 max,0.33593699441017055,"[1.0004587531242026, 0.08053502910135103, 0.0991275942219396, 0.13156405931989257, 0.7172178711285239, 0.2209806841594553, 0.3798169461728326, 0.10244377951274652, 0.2912882329505905]"
1,feature-0 betti-1 mean,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,feature-0 betti-1 std,0.43342171527864304,"[1.0698235334030444, 0.08966770679522124, 0.16583915393058707, 0.1529503407496557, 1.144035446552783, 0.4867659013069983, 0.465382668147006, 0.08411226968830585, 0.24221841693418583]"
3,feature-0 betti-1 sum,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,feature-0 betti-1 norm,0.43342171527864304,"[1.0698235334030444, 0.08966770679522124, 0.16583915393058707, 0.1529503407496557, 1.144035446552783, 0.4867659013069983, 0.465382668147006, 0.08411226968830585, 0.24221841693418583]"
5,feature-0 betti-1 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,feature-0 betti-1 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,feature-0 betti-1 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,feature-0 betti-1 percentile-90,0.010878544316437106,"[0.03025590094494317, 0.0004094366242323466, 0.0008170034068411005, 0.01249009727855826, 0.020874133793266504, 0.005888069041518191, 0.011043271680320463, 0.004247361567875549, 0.011881624510378374]"
9,feature-0 betti-1 kurtosis,0.22397837236597606,"[0.6124743682049667, 0.06764506680395557, 0.13120502687851238, 0.11942876967530498, 0.15824522634046395, 0.12762063489573752, 0.18127717653250175, 0.14689282840303616, 0.47101625355930554]"
10,feature-0 betti-1 skew,0.11658177566828781,"[0.3287782707280152, 0.09287874587268766, 0.03791345746039547, 0.049185592579598064, 0.10874625115616324, 0.10999079297011216, 0.11886189261671483, 0.06509560374028481, 0.13778537389061907]"
11,feature-0 betti-2 max,0.22519903685688358,"[1.179866200152323, 0.018081789459853975, 0.08376924526224248, 0.05134331872924218, 0.27748319645798225, 0.08366588905158096, 0.027936334991645426, 0.1608956100565756, 0.14374974755050648]"
12,feature-0 betti-2 mean,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,feature-0 betti-2 std,0.3746350819409155,"[1.8151943975758635, 0.026371559223849476, 0.06317039975934005, 0.3219198267004439, 0.42488381761002225, 0.11709531480485114, 0.13194348368570868, 0.2995388010325067, 0.17159813707565402]"
14,feature-0 betti-2 sum,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,feature-0 betti-2 norm,0.3746350819409155,"[1.8151943975758635, 0.026371559223849476, 0.06317039975934005, 0.3219198267004439, 0.42488381761002225, 0.11709531480485114, 0.13194348368570868, 0.2995388010325067, 0.17159813707565402]"
16,feature-0 betti-2 percentile-25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,feature-0 betti-2 median,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,feature-0 betti-2 percentile-75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,feature-0 betti-2 percentile-90,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
