,St_len_min,K_nb_max,N_cl_max,N_stages,Cl_cen,St_edges,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
0,0,35,10,3,Median,"[0, 235, 682, 1046]",40624.16058715798,14.75621120563778,0.08290705011992751,101.21155520879937,3.7737704345248146,0.11799280333081161,93.23700875642349,3.3038639743335008
1,0,35,10,3,Mode,"[0, 282, 560, 1046]",42309.5308646234,16.400247023164887,0.07268304321795761,114.99031229053053,2.7221273221801314,0.12593263097509852,108.7790182677412,2.4382607528003746
2,0,35,10,3,Mean,"[0, 198, 712, 1046]",36420.784679621305,14.262032405845513,0.06998489540501938,90.30550940871272,4.129194852648799,0.10739929416223618,81.221288120514,3.5760397691558063
3,0,35,10,4,Median,"[0, 235, 566, 867, 1046]",31760.94900859043,14.31831757431785,0.06955927254963026,88.66015780922773,3.660331938096097,0.11813220428876704,82.46418358366329,3.2191076063314603
4,0,35,10,4,Mode,"[0, 282, 560, 857, 1046]",30431.875715404254,14.242181769397328,0.06265046331811057,85.83978947546441,3.6393543079675057,0.11191893712494629,77.85472567258289,3.1680663376779794
5,0,35,10,4,Mean,"[0, 198, 597, 892, 1046]",28961.578633889138,13.648971871275188,0.06535455284385092,75.83344690571994,3.9088818308834044,0.1060488610448763,69.70911473774643,3.4783254190922066
6,0,35,10,5,Median,"[0, 232, 560, 682, 929, 1046]",37476.845764862526,18.867054107496443,0.07602474242676982,91.00867767885211,3.153686761449337,0.1730742137507875,99.64671442919855,2.3001859206896964
7,0,35,10,5,Mode,"[0, 282, 560, 682, 857, 1046]",42767.04601942566,21.207530011705728,0.0775690214534936,100.77583225060988,2.6105088085175843,0.20444327572085244,114.8756722007965,1.8457830423250927
8,0,35,10,5,Mean,"[0, 195, 545, 701, 915, 1046]",34567.85477172281,17.552930598572388,0.06860849424919144,84.45067978079742,3.248123685957148,0.15430980669447483,89.3030148783512,2.436944735741466
9,0,35,10,6,Median,"[0, 104, 279, 560, 682, 929, 1046]",27476.899573063874,17.61810354907312,0.05867055459400749,83.50557729885739,3.0225020889067817,0.15949214121277785,74.49050387847072,2.332746282963367
10,0,35,10,6,Mode,"[0, 92, 282, 560, 682, 857, 1046]",33036.18934514694,19.762856032636442,0.06582711801621756,94.82899801160897,2.5445597898624994,0.1857545056189936,90.12067760811917,1.9323475414329434
11,0,35,10,6,Mean,"[0, 117, 264, 548, 701, 915, 1046]",23973.453858268098,16.165049898275225,0.05053203838842146,78.14016918069534,3.1466742506607814,0.14085293140510063,62.92507536494905,2.4804589291504966
12,0,35,10,7,Median,"[0, 104, 279, 560, 682, 857, 971, 1046]",31511.860172822588,20.461520230959096,0.04141674352288089,89.70170313750755,3.234589852123256,0.19177222127526847,84.8636508777217,1.8669863014884716
13,0,35,10,7,Mode,"[0, 92, 282, 560, 682, 857, 976, 1046]",32468.399773150857,20.85704856525803,0.03634555472598268,91.02531467666077,3.183338822372057,0.1949163361215707,87.3161050311748,1.8077105111387246
14,0,35,10,7,Mean,"[0, 117, 264, 534, 662, 835, 963, 1046]",22791.17570554162,16.887677113088426,0.04843005030239086,73.48114481125761,3.210840731833848,0.15155927769147579,60.683524936090784,2.364506502844049
15,0,35,10,8,Median,"[0, 104, 277, 490, 560, 682, 857, 971, 1046]",26075.437003243456,20.13707020184859,0.03680751362132299,84.89969068885004,2.9589763572109296,0.1855854702509657,71.72797306473383,1.8401493759649623
